Link_ID,Peer_ID,Source_Node,Source_Intf_Id,Sink_Node,Sink_Intf_Id,Delay,Cost,Bandwidth,SRLG,Community_Id,RatioMaxDemandBW,RatioTotalDemandBW,totalBW,includeDemandID
0,25,0,1,12,2,9,4,10000,,0,0,0,10000,,
1,10150,0,2,4994,2,0,3,10000,,0,0,0,10000,,
2,4,1,1,2,1,6,8,5000,,0,0,0,10000,,
3,10189,1,2,5004,3,7,4,10000,,0,0,0,10000,,
4,2,2,1,1,1,6,8,5000,,0,0,0,10000,,
5,6,2,2,3,1,9,2,10000,,0,0,0,10000,,
6,5,3,1,2,2,9,2,10000,,0,0,0,10000,,
7,8,3,2,4,1,19,5,10000,,0,0,0,10000,,
8,7,4,1,3,2,19,5,10000,,0,0,0,10000,,
9,10,4,2,5,1,12,2,10000,,0,0,0,10000,,
10,9,5,1,4,2,12,2,10000,,0,0,0,10000,,
11,12,5,2,6,1,2,8,10000,,0,0,0,10000,,
12,11,6,1,5,2,2,8,10000,,0,0,0,10000,,
13,14,6,2,7,1,1,10,10000,,0,0,0,10000,,
14,13,7,1,6,2,1,10,10000,,0,0,0,10000,,
15,16,7,2,8,1,4,6,10000,,0,0,0,10000,,
16,15,8,1,7,2,4,6,10000,,0,0,0,10000,,
17,18,8,2,9,1,8,3,10000,,0,0,0,10000,,
18,17,9,1,8,2,8,3,10000,,0,0,0,10000,,
19,20,9,2,10,1,2,6,5000,,0,0,0,10000,,
20,19,10,1,9,2,2,6,5000,,0,0,0,10000,,
21,22,10,2,11,1,6,1,10000,,0,0,0,10000,,
22,21,11,1,10,2,6,1,10000,,0,0,0,10000,,
23,24,11,2,12,1,10,9,10000,,0,0,0,10000,,
24,23,12,1,11,2,10,9,10000,,0,0,0,10000,,
25,0,12,2,0,1,9,4,10000,,0,0,0,10000,,
26,49,13,1,24,2,8,10,10000,,1,0,0,10000,,
27,10163,13,2,4997,3,3,2,10000,,1,0,0,10000,,
28,30,14,1,15,1,6,10,10000,,1,0,0,10000,,
29,10179,14,2,5002,3,15,2,10000,,1,0,0,10000,,
30,28,15,1,14,1,6,10,10000,,1,0,0,10000,,
31,32,15,2,16,1,16,1,10000,,1,0,0,10000,,
32,31,16,1,15,2,16,1,10000,,1,0,0,10000,,
33,34,16,2,17,1,17,7,10000,,1,0,0,10000,,
