Node_ID,AS_ID,Community_ID,Layer,Delay,Intf_ID,Support_Intf_Type,Band_Width,List_Support_Sub_Intf_Spec,List_Active_Sub_Intf_Spec,List_Sub_Intf
0,0,0,0,5,1,1,10000,,,
0,0,0,0,5,2,1,10000,,,
1,0,0,0,2,1,1,10000,,,
1,0,0,0,2,2,1,10000,,,
2,0,0,0,4,1,1,10000,,,
2,0,0,0,4,2,1,10000,,,
3,0,0,0,5,1,1,10000,,,
3,0,0,0,5,2,1,10000,,,
4,0,0,0,12,1,1,10000,,,
4,0,0,0,12,2,1,10000,,,
5,0,0,0,3,1,1,10000,,,
5,0,0,0,3,2,1,10000,,,
6,0,0,0,10,1,1,10000,,,
6,0,0,0,10,2,1,10000,,,
7,0,0,0,3,1,1,10000,,,
7,0,0,0,3,2,1,10000,,,
8,0,0,0,3,1,1,10000,,,
8,0,0,0,3,2,1,10000,,,
9,0,0,0,5,1,1,10000,,,
9,0,0,0,5,2,1,10000,,,
10,0,0,0,7,1,1,10000,,,
10,0,0,0,7,2,1,10000,,,
11,0,0,0,12,1,1,10000,,,
11,0,0,0,12,2,1,10000,,,
12,0,0,0,1,1,1,10000,,,
12,0,0,0,1,2,1,10000,,,
13,0,1,0,6,1,1,10000,,,
13,0,1,0,6,2,1,10000,,,
14,0,1,0,6,1,1,10000,,,
14,0,1,0,6,2,1,10000,,,
15,0,1,0,7,1,1,10000,,,
15,0,1,0,7,2,1,10000,,,
16,0,1,0,6,1,1,10000,,,
16,0,1,0,6,2,1,10000,,,
17,0,1,0,4,1,1,10000,,,
17,0,1,0,4,2,1,10000,,,
18,0,1,0,3,1,1,10000,,,
18,0,1,0,3,2,1,10000,,,
19,0,1,0,6,1,1,10000,,,
19,0,1,0,6,2,1,10000,,,
20,0,1,0,1,1,1,10000,,,
20,0,1,0,1,2,1,10000,,,
21,0,1,0,4,1,1,10000,,,
21,0,1,0,4,2,1,10000,,,
22,0,1,0,6,1,1,10000,,,
22,0,1,0,6,2,1,10000,,,
23,0,1,0,7,1,1,10000,,,
23,0,1,0,7,2,1,10000,,,
24,0,1,0,3,1,1,10000,,,
24,0,1,0,3,2,1,10000,,,
25,0,2,0,10,1,1,10000,,,
25,0,2,0,10,2,1,10000,,,
26,0,2,0,9,1,1,10000,,,
26,0,2,0,9,2,1,10000,,,
27,0,2,0,12,1,1,10000,,,
